id,type,label,value,row,col,x,y,connectedCellIds,monsterId,chestReward,requiresActivationCellId
start-2-tl,START,2,2,0,2,18.0,7.0,"start-9-tl;white-4-tl",,,
start-9-tl,START,9,9,1,2,18.0,15.0,"start-2-tl;start-6-tl;white-4-tl",,,
start-6-tl,START,6,6,2,2,18.0,23.0,"start-9-tl;start-7-tl;white-10-tl",,,
start-7-tl,START,7,7,3,2,18.0,31.0,"start-6-tl;start-3-fl;white-10-tl",,,
start-3-fl,START,3,3,3,1,11.0,31.0,"start-12-fl;start-7-tl;white-6-fl",,,
start-12-fl,START,12,12,3,0,4.0,31.0,"start-3-fl;white-5-fl",,,
white-4-tl,REGULAR,4,4,0,3,26.0,11.0,"start-2-tl;start-9-tl;white-7-top;m-purple-3",,,
white-10-tl,REGULAR,10,10,2,3,26.0,27.0,"start-6-tl;start-7-tl;white-7-top;m-grey-6",,,
white-5-fl,REGULAR,5,5,4,0,4.0,41.0,"start-12-fl;white-6-fl;activate-4-fl",,,
white-6-fl,REGULAR,6,6,4,1,11.0,41.0,"start-3-fl;white-5-fl;m-grey-6",,,
activate-4-fl,GRAY_ACTIVATION,4 (Star),4,5,1,5.5,51.0,"white-5-fl;white-12-bl",,,
white-12-bl,REGULAR,12,12,6,1,5.5,61.0,"activate-4-fl;white-2-bl",,,
white-2-bl,REGULAR,2,2,6,2,13.0,61.0,"white-12-bl;white-5-bl",,,
white-5-bl,REGULAR,5,5,5,3,20.5,53.0,"white-2-bl;white-7-bm;m-grey-10;activate-6-bl",,,
white-7-bm,REGULAR,7,7,6,4,28.0,57.0,"white-5-bl;m-grey-10;activate-6-bl",,,
m-purple-3,MONSTER,Purple Pup: 3,3,0,5,35.5,6.5,"white-4-tl;m-purple-4",purple-pup,,
m-purple-4,MONSTER,Purple Pup: 4,4,1,5,35.5,14.5,"m-purple-3;m-purple-11",purple-pup,,
m-purple-11,MONSTER,Purple Pup: 11,11,2,5,35.5,22.5,"m-purple-4;white-3-top",purple-pup,,
m-grey-6,MONSTER,Grey Hound: 6,6,4,3,19.5,39.5,"white-10-tl;white-6-fl;m-grey-8",grey-hound,,
m-grey-8,MONSTER,Grey Hound: 8,8,5,3,19.5,46.5,"m-grey-6;m-grey-10",grey-hound,,
m-grey-10,MONSTER,Grey Hound: 10,10,6,3,26.5,46.5,"m-grey-8;white-5-bl;white-7-bm;white-9-mid",grey-hound,,
white-7-top,REGULAR,7,7,2,4,32.5,23.5,"white-4-tl;white-10-tl;white-3-top;white-9-mid",,,
white-3-top,REGULAR,3,3,2,5,39.5,23.5,"white-7-top;m-purple-11;white-9-mid",,,
white-9-mid,REGULAR,9,9,3,4,34.0,36.0,"white-7-top;white-3-top;m-grey-10;chest-11",,,
chest-11,CHEST,Chest 11 (+1 Torch),,3,5,38.5,32.0,"white-9-mid;white-12-gem;white-10-gem",,TORCH,
activate-10-top,GRAY_ACTIVATION,10 (Star),10,0,6,45.5,7.0,"white-12-uc",,,
white-12-uc,REGULAR,12,12,1,6,47.5,15.0,"activate-10-top;activate-12-tr;white-10-gem",,,
white-10-gem,REGULAR,10,10,2,6,45.0,26.0,"white-12-uc;chest-11;white-12-gem;white-9-center",,,
white-12-gem,REGULAR,12,12,3,6,43.0,37.5,"white-10-gem;chest-11;white-3-center;white-10-boss-left",,,
white-9-center,REGULAR,9,9,2,7,53.0,30.0,"white-10-gem;white-6-center;white-3-center;white-2-tr",,,
